[LOG] 🚀 Démarrage de la traduction...
[LOG] ⏩ Fichier déjà traduit: Aspect_of_the_Beast__Tiger_nu0i5jUkypnd8Gdh.json
[LOG] ⏩ Fichier déjà traduit: Aspect_of_the_Beast__Wolf_En14VEyX6SBjfsIV.json
[LOG] ⏩ Fichier déjà traduit: Aspect_of_the_Wyrm_NEkjw1MSk5tTRgif.json
[LOG] ⏩ Fichier déjà traduit: Assassinate_bvjZJGmRGVTvwjWU.json
[LOG] ⏩ Fichier déjà traduit: Aura_of_Alacrity_1Gb0eTnDM2DkWJ7K.json
[LOG] ⏩ Fichier déjà traduit: Aura_of_Conquest_6dMldTjqxwUPpLMi.json
[LOG] ⏩ Fichier déjà traduit: Aura_of_Courage_HiizEejyxUXmyToM.json
[LOG] ⏩ Fichier déjà traduit: Aura_of_Devotion_QzqtcdIFM601XqXR.json
[LOG] ⏩ Fichier déjà traduit: Aura_of_Hate_6xPIEEfvDumjVBJs.json
[LOG] ⏩ Fichier déjà traduit: Aura_of_Protection_A4Hxmse28oUuaLfe.json
[LOG] ⏩ Fichier déjà traduit: Aura_of_Warding_CgpPHOSiwQmxk3S0.json
[LOG] ⏩ Fichier déjà traduit: Aura_of_the_Guardian_ybOFs0lFFHgtsstD.json
[LOG] ⏩ Fichier déjà traduit: Aura_of_the_Sentinel_oiYwi4bd2iChYqcz.json
[LOG] ⏩ Fichier déjà traduit: Avatar_of_Battle_Xu6rPqfRYzjT6jwT.json
[LOG] ⏩ Fichier déjà traduit: Avenging_Angel_rOqM1VDWMJr85Fvx.json
[LOG] ⏩ Fichier déjà traduit: Awakened_Astral_Self_sICiOcUWBt6nPnYa.json
[LOG] ⏩ Fichier déjà traduit: Awakened_Mind_xeOABOVB9ziUkBnr.json
[LOG] ⏩ Fichier déjà traduit: Awakened_Spellbook_2jHeIzhtZdDFes9d.json
[LOG] ⏩ Fichier déjà traduit: Balm_of_the_Summer_Court_a6XkUHxfVigBxYeX.json
[LOG] ⏩ Fichier déjà traduit: Bard_College_C9Fes8I6yYqQdYiu.json
[LOG] ⏩ Fichier déjà traduit: Bardic_Inspiration_7Q7X8BnKOsk2SXSt.json
[LOG] ⏩ Fichier déjà traduit: Bardic_Versatility__Optional__NMfm8kVOh7JmCpWX.json
[LOG] ⏩ Fichier déjà traduit: Bastion_of_Law_Gkg6HrbWhDPRCxWe.json
[LOG] ⏩ Fichier déjà traduit: Battle_Magic_o9cfWnN5FcM3eRb4.json
[LOG] ⏩ Fichier déjà traduit: Battle_Ready_MbgUq57xWhQrxrYT.json
[LOG] ⏩ Fichier déjà traduit: Battle_Smith_Spells_r8wgZWdzmUUz9W4R.json
[LOG] ⏩ Fichier déjà traduit: Battlefist_GNO0W0JKfVYynXMD.json
[LOG] ⏩ Fichier déjà traduit: Battlerager_Armor_CMy8Ymo8qe998Jmn.json
[LOG] ⏩ Fichier déjà traduit: Battlerager_Charge_9N2z253tO7XhbsJF.json
[LOG] ⏩ Fichier déjà traduit: Beast_Link_rprMhozNDYk7UOJf.json
[LOG] ⏩ Fichier déjà traduit: Beast_Spells_mcfZTDoFKn6XmOD2.json
[LOG] ⏩ Fichier déjà traduit: Beast_s_Defense_YEqtnVZgFMbNTTGK.json
[LOG] ⏩ Fichier déjà traduit: Beastkin_lq1NmPpadM7DIJvk.json
[LOG] ⏩ Fichier déjà traduit: Beguiling_Defenses_J70kLmVYR9LWzQ6V.json
[LOG] ⏩ Fichier déjà traduit: Beguiling_Twist_U2z7qqfubZ6MXrOQ.json
[LOG] ⏩ Fichier déjà traduit: Bend_Luck_8gbk2h1DQNgmnP3o.json
[LOG] ⏩ Fichier déjà traduit: Benign_Transportation_lIIVPxqiiXgo4AvA.json
[LOG] ⏩ Fichier déjà traduit: Bestial_Fury_f4nxTP1r3bxe2rTC.json
[LOG] ⏩ Fichier déjà traduit: Bestial_Soul_T2TPL3BMZGEnvbkv.json
[LOG] ⏩ Fichier déjà traduit: Blade_Flourish_vlhclltHf1eNYLdC.json
[LOG] ⏩ Fichier déjà traduit: Bladesong_aitU2h6kQU80LHcl.json
[LOG] ⏩ Fichier déjà traduit: Blazing_Revival_dOvEcECuDqmlaSdg.json
[LOG] ⏩ Fichier déjà traduit: Blessed_Healer_YbV5vNVsx3iW5qbC.json
[LOG] ⏩ Fichier déjà traduit: Blessed_Strikes__Optional__2aYG6L543b7vuoBo.json
[LOG] ⏩ Fichier déjà traduit: Blessing_of_the_Forge_fmPgM8XsxKPJw7tT.json
[LOG] ⏩ Fichier déjà traduit: Blessing_of_the_Trickster_NJ2T7LwV2UsZ4rYd.json
[LOG] ⏩ Fichier déjà traduit: Blessings_of_Knowledge_xNwpTmAtrt1UnFB5.json
[LOG] ⏩ Fichier déjà traduit: Blindsense_EkUQhP3Zb0olv1vx.json
[LOG] ⏩ Fichier déjà traduit: Body_of_the_Astral_Self_G0MmiWPtSZ7zmBu2.json
[LOG] ⏩ Fichier déjà traduit: Body_of_the_Astral_Self__Deflect_Energy_4b2tR7EGkZbci5N4.json
[LOG] ⏩ Fichier déjà traduit: Body_of_the_Astral_Self__Empowered_Arms_QrALT7RZAiNNZJXp.json
[LOG] ⏩ Fichier déjà traduit: Bolstering_Magic_i681Uhozm78wScpR.json
[LOG] ⏩ Fichier déjà traduit: Bond_of_Fang_and_Scale_B4fIX2BHt4louJw8.json
[LOG] ⏩ Fichier déjà traduit: Bonus_Cantrip__Druid__IMqNBKE9zR9gWrjO.json
[LOG] ⏩ Fichier déjà traduit: Bonus_Cantrip__Light_Domain__R5gpHJF2wbjxYRaQ.json
[LOG] ⏩ Fichier déjà traduit: Bonus_Cantrips__The_Celestial_jD11TnJ7woJLi1z4.json
[LOG] ⏩ Fichier déjà traduit: Bonus_Proficiencies__Assassin__t42xI7i3ueSJP0uf.json
[LOG] ⏩ Fichier déjà traduit: Bonus_Proficiencies__College_of_Lore__vysErwx5BJswP0Ab.json
[LOG] ⏩ Fichier déjà traduit: Bonus_Proficiencies__College_of_Swords__2hZYDYt7uXYqmmU1.json
[LOG] ⏩ Fichier déjà traduit: Bonus_Proficiencies__College_of_Valor__v8Ju6tVzdU8eUgSG.json
[LOG] ⏩ Fichier déjà traduit: Bonus_Proficiencies__Drunken_Master__bU5g1xROyp8ZylQP.json
[LOG] ⏩ Fichier déjà traduit: Bonus_Proficiencies__Forge_Domain__Kse0fV2u5XGj6rrK.json
[LOG] ⏩ Fichier déjà traduit: Bonus_Proficiencies__Order_Domain__vcgCYAK7rqHfcgx6.json
[LOG] ⏩ Fichier déjà traduit: Bonus_Proficiencies__Rune_Knight__cPSNJdm5MJi2yF0r.json
[LOG] ⏩ Fichier déjà traduit: Bonus_Proficiencies__Tempest_Domain__OOjymxRt3nYW4Vkq.json
[LOG] ⏩ Fichier déjà traduit: Bonus_Proficiencies__Twilight_Domain__oOjoGlqBc9MXH9yR.json
[LOG] ⏩ Fichier déjà traduit: Bonus_Proficiency__Cavalier__kpdbgoxHZupx1COE.json
[LOG] ⏩ Fichier déjà traduit: Bonus_Proficiency__Death_Domain__NdZ0cWH6p5QXklNG.json
[LOG] ⏩ Fichier déjà traduit: Bonus_Proficiency__Life_Domain__Lpgccx4CpVMBhB6I.json
[LOG] ⏩ Fichier déjà traduit: Bonus_Proficiency__Nature_Domain__TKffoYDFB9pHf9dA.json
[LOG] ⏩ Fichier déjà traduit: Bonus_Proficiency__Samurai__ixDpTCx3HFisYuxp.json
[LOG] ⏩ Fichier déjà traduit: Bonus_Proficiency__War_Domain__02LnB91YxrAlxRzx.json
[LOG] ⏩ Fichier déjà traduit: Born_to_the_Saddle_G4s78lXhqxOOCOTd.json
[LOG] ⏩ Fichier déjà traduit: Breath_of_the_Dragon_fe0BTjxrqgY7jaJI.json
[LOG] ⏩ Fichier déjà traduit: Brutal_Critical_9dEockIYleqfIcjQ.json
[LOG] ⏩ Fichier déjà traduit: Bulwark_VpfSuWxMV56vlyDC.json
[LOG] ⏩ Fichier déjà traduit: Bulwark_of_Force_8xn2rqiVStPhYtOs.json
[LOG] ⏩ Fichier déjà traduit: Call_the_Hunt_fAakMjU1MDmUo7i8.json
[LOG] ⏩ Fichier déjà traduit: Cantrip_Formulas__Optional__AcsOAdC2u06L2RRC.json
[LOG] ⏩ Fichier déjà traduit: Cantrip_Versatility__Optional__9DXeaIbdZcubBzhk.json
[LOG] ⏩ Fichier déjà traduit: Cantrip_Versatility__Optional__Aigjh6C04BmQaJTa.json
[LOG] ⏩ Fichier déjà traduit: Cauterizing_Flames_EGyPvs04hvWWBnMK.json
[LOG] ⏩ Fichier déjà traduit: Celestial_Resistance_EAwAyIkaVDZDeS2w.json
[LOG] ⏩ Fichier déjà traduit: Channel_Divinity__Abjure_Enemy_saKAmKZxJD0N4mly.json
[LOG] ⏩ Fichier déjà traduit: Channel_Divinity__Abjure_the_Extraplanar_uCcsMH3REjmFAOoy.json
[LOG] ⏩ Fichier déjà traduit: Channel_Divinity__Arcane_Abjuration_nS4f4gdA5B6pgSfQ.json
[LOG] ⏩ Fichier déjà traduit: Channel_Divinity__Artisan_s_Blessing_sBhcDN40j2LlEnUB.json
[LOG] ⏩ Fichier déjà traduit: Channel_Divinity__Balm_of_Peace_VaLrpCeWNcV704pf.json
[LOG] ⏩ Fichier déjà traduit: Channel_Divinity__Champion_Challenge_BxI3NM7GmYvo7cNM.json
[LOG] ⏩ Fichier déjà traduit: Channel_Divinity__Charm_Animals_and_Plants_gkb3psUPstUd7aC3.json
[LOG] ⏩ Fichier déjà traduit: Channel_Divinity__Cleric__idX3IP3WYFKhjm8g.json
[LOG] ⏩ Fichier déjà traduit: Channel_Divinity__Cloak_of_Shadows_3V0njQ2QzklkX2Hm.json
[LOG] ⏩ Fichier déjà traduit: Channel_Divinity__Conquering_Presence_Vbn2Uh7yKfNwNsLi.json
[LOG] ⏩ Fichier déjà traduit: Channel_Divinity__Control_Undead_9PxomTGkdFLSfr44.json
[LOG] ⏩ Fichier déjà traduit: Channel_Divinity__Destructive_Wrath_46WyZOUsnGrZ2cJ3.json
[LOG] ⏩ Fichier déjà traduit: Channel_Divinity__Dreadful_Aspect_5jEYUFMnTOmxLL90.json
[LOG] ⏩ Fichier déjà traduit: Channel_Divinity__Emissary_of_Peace_dXkcXwaNJJoaA1uc.json
[LOG] ⏩ Fichier déjà traduit: Channel_Divinity__Guided_Strike_YsJjwQrgqJNlSzeN.json
[LOG] ⏩ Fichier déjà traduit: Channel_Divinity__Guided_Strike_y43Mzq2ij12cG2y8.json
[LOG] ⏩ Fichier déjà traduit: Channel_Divinity__Inspiring_Smite_mTl4KK9SvNZuVP80.json
[LOG] ⏩ Fichier déjà traduit: Channel_Divinity__Invoke_Duplicity_jBKsjK8xyhN2W9ui.json
[LOG] ⏩ Fichier déjà traduit: Channel_Divinity__Knowledge_of_the_Ages_CTvZlnFCEH33tz5V.json
[LOG] ⏩ Fichier déjà traduit: Channel_Divinity__Nature_s_Wrath_CWSfNiFHP81Ni219.json
[LOG] ⏩ Fichier déjà traduit: Channel_Divinity__Order_s_Demand_BJyoQly5Sx67LMFk.json
[LOG] ⏩ Fichier déjà traduit: Channel_Divinity__Paladin__BdhVFmTGhjLm1Ceo.json
[LOG] ⏩ Fichier déjà traduit: Channel_Divinity__Path_to_the_Grave_zH8Ix9DiH7wXxSRp.json
[LOG] ⏩ Fichier déjà traduit: Channel_Divinity__Peerless_Athlete_G1uRjyJiz71O0nWr.json
[LOG] ⏩ Fichier déjà traduit: Channel_Divinity__Preserve_Life_OrYmg92iw2Um2i6w.json
[LOG] ⏩ Fichier déjà traduit: Channel_Divinity__Radiance_of_the_Dawn_n2HlMDl3yFAC3per.json
[LOG] ⏩ Fichier déjà traduit: Channel_Divinity__Read_Thoughts_NsxEbesdXTcacyBs.json
[LOG] ⏩ Fichier déjà traduit: Channel_Divinity__Rebuke_the_Violent_lL77jlcSjqNErEY8.json
[LOG] ⏩ Fichier déjà traduit: Channel_Divinity__Sacred_Weapon_m1n93D8Gvrkir0hX.json
[LOG] ⏩ Fichier déjà traduit: Channel_Divinity__Touch_of_Death_tAWSyN3gFpuXUb5h.json
[LOG] ⏩ Fichier déjà traduit: Channel_Divinity__Turn_Undead_NptVxUhWgKhqVQVH.json
[LOG] ⏩ Fichier déjà traduit: Channel_Divinity__Turn_the_Faithless_ywztormbAUcwPuqR.json
[LOG] ⏩ Fichier déjà traduit: Channel_Divinity__Turn_the_Tide_jEHywcSrZXuFSv54.json
[LOG] ⏩ Fichier déjà traduit: Channel_Divinity__Turn_the_Unholy_3qcCFbk7e9D5GPHd.json
[LOG] ⏩ Fichier déjà traduit: Channel_Divinity__Twilight_Sanctuary_XkchOpSKJsF0rqdA.json
[LOG] ⏩ Fichier déjà traduit: Channel_Divinity__Vow_of_Emnity_OsW6GLQmQ4FpU9W0.json
[LOG] ⏩ Fichier déjà traduit: Channel_Divinity__War_God_s_Blessing_9ZZlIjz9kyRLQa1U.json
[LOG] ⏩ Fichier déjà traduit: Channel_Divinity__Watcher_s_Will_FB9y8GIagrtTe6bC.json
[LOG] ⏩ Fichier déjà traduit: Chemical_Mastery_LqCEyNwmXV7acDth.json
[LOG] ⏩ Fichier déjà traduit: Chronal_Shift_e28fkPCeO5EJGaTu.json
[LOG] ⏩ Fichier déjà traduit: Circle_Forms_gjqiharmyaj4Zee3.json
[LOG] ⏩ Fichier déjà traduit: Circle_Spells__Land_fTncWzjJJeeEEqC0.json
[LOG] ⏩ Fichier déjà traduit: Circle_Spells__Spores_5YD2zOlWx0jPnLuZ.json
[LOG] ⏩ Fichier déjà traduit: Circle_Spells__Wildfire_E8nCvPmLyuICd1OT.json
[LOG] ⏩ Fichier déjà traduit: Circle_of_Mortality_D9zpH6eXBH3Vmj7a.json
[LOG] ⏩ Fichier déjà traduit: Cleansing_Touch_Gl2gHboUJK1z7uDQ.json
[LOG] ⏩ Fichier déjà traduit: Cloak_of_Shadows_9UjKQn7ozro2Qp74.json
[LOG] ⏩ Fichier déjà traduit: Clockwork_Cavalcade_d5DTj2SgPrn0lvUx.json
[LOG] ⏩ Fichier déjà traduit: Clockwork_Magic_NISCywc2kz5BdwPk.json
[LOG] ⏩ Fichier déjà traduit: Combat_Inspiration_sMcnACyx3esiUWCI.json
[LOG] ⏩ Fichier déjà traduit: Combat_Superiority_GHzO3cGJBSbXJdeF.json
[LOG] ⏩ Fichier déjà traduit: Combat_Wild_Shape_Bm7hAJU6AYSivWjR.json
[LOG] ⏩ Fichier déjà traduit: Command_Undead_NTvsTgsg0AMbUZWM.json
[LOG] ⏩ Fichier déjà traduit: Companion_s_Bond_MU9k0VSWh4GC34UO.json
[LOG] ⏩ Fichier déjà traduit: Conjuration_Savant_P4DdgvgMpWpVMQLr.json
[LOG] ⏩ Fichier déjà traduit: Construct_Apotheosis_3qbezVnhroUKLHOU.json
[LOG] ⏩ Fichier déjà traduit: Consult_the_Spirits_mElMF5Wxahq0ly2u.json
[LOG] ⏩ Fichier déjà traduit: Controlled_Chaos_TDNRVupCzTnZjTcP.json
[LOG] ⏩ Fichier déjà traduit: Controlled_Surge_tNS0YrfHSn6wLSHb.json
[LOG] ⏩ Fichier déjà traduit: Convergent_Future_kCVi153BzbTfmjH2.json
[LOG] ⏩ Fichier déjà traduit: Coordinated_Attack_AZ835rnEPLNvP4UW.json
[LOG] ⏩ Fichier déjà traduit: Corona_of_Light_1pi00GpDist27CmV.json
[LOG] ⏩ Fichier déjà traduit: Cosmic_Omen_qd47nYWmDcXvL7xe.json
[LOG] ⏩ Fichier déjà traduit: Countercharm_GchMVtDO4gC7bFA5.json
[LOG] ⏩ Fichier déjà traduit: Create_Thrall_3VMsXC2tUN1tfilK.json
[LOG] ⏩ Fichier déjà traduit: Creative_Crescendo_Zq3W99SWwcBExLUy.json
[LOG] ⏩ Fichier déjà traduit: Cunning_Action_fiGojVwBQhuhBgjP.json
[LOG] ⏩ Fichier déjà traduit: Curving_Shot_OrWhW1cN4h8Vl0sW.json
[LOG] ⏩ Fichier déjà traduit: Cutting_Words_4cH2arviqIuNhl6g.json
[LOG] ⏩ Fichier déjà traduit: Dampen_Elements_hkaPi057lgHNiXEI.json
[LOG] ⏩ Fichier déjà traduit: Danger_Sense_ndZ2F6TGnWCupIOq.json
[LOG] ⏩ Fichier déjà traduit: Dark_Delirium_WStcQdlUxqmTFMtu.json
[LOG] ⏩ Fichier déjà traduit: Dark_Lurker_87kUI6jTJRiDGjq7.json
[LOG] ⏩ Fichier déjà traduit: Dark_One_s_Blessing_kx3P16WFkrkJ5XzC.json
[LOG] ⏩ Fichier déjà traduit: Dark_One_s_Own_Luck_2w7ANZjLA3jeRtn9.json
[LOG] ⏩ Fichier déjà traduit: Death_Knell_EyNWDsFfqZGn1aRq.json
[LOG] ⏩ Fichier déjà traduit: Death_Strike_W8ypf607fON83Amv.json
[LOG] ⏩ Fichier déjà traduit: Dedicated_Weapon__Optional__V9oRZIxw40Pa4Yrh.json
[LOG] ⏩ Fichier déjà traduit: Deep_Stalker_Magic_FSCEmHyQIpnjaBRS.json
[LOG] ⏩ Fichier déjà traduit: Defensive_Tactics_IQ3E7n2AvxxnFWJe.json
[LOG] ⏩ Fichier déjà traduit: Defensive_Tactics__Escape_the_Horde_kfBvZrcJrsU3tQxj.json
[LOG] ⏩ Fichier déjà traduit: Defensive_Tactics__Multiattack_Defense_dIBxeLejmjEGNWKs.json
[LOG] ⏩ Fichier déjà traduit: Defensive_Tactics__Steel_Will_Zt7CvDbb4q8Byqip.json
[LOG] ⏩ Fichier déjà traduit: Deflect_Missiles_J67dX2dYrUKChTSA.json
[LOG] ⏩ Fichier déjà traduit: Deflect_Missiles__Throw_B7FS4n7voDgL2KJg.json
[LOG] ⏩ Fichier déjà traduit: Deflecting_Shroud_6WfQ76GVjJo4qDpm.json
[LOG] ⏩ Fichier déjà traduit: Deft_Explorer__Optional__7Zlw5TlzlAjpdXru.json
[LOG] ⏩ Fichier déjà traduit: Deft_Strike_Pkx26MkQSNyY2szg.json
[LOG] ⏩ Fichier déjà traduit: Defy_Death_0lSgFxC8XdNZ0moO.json
[LOG] ⏩ Fichier déjà traduit: Destroy_Undead_bov7L3JkIr9RPOld.json
[LOG] ⏩ Fichier déjà traduit: Detect_Portal_Q6J3mYixtULgkv9O.json
[LOG] ⏩ Fichier déjà traduit: Disciple_of_Life_irp54ioPB7ossN2Y.json
[LOG] ⏩ Fichier déjà traduit: Disciple_of_the_Elements_lHNnO4PYpcWGYdrT.json
[LOG] ⏩ Fichier déjà traduit: Distant_Strike_ZjoQHlvBffkjATxR.json
[LOG] ⏩ Fichier déjà traduit: Divination_Savant_ZjEuCtKE4IIHL3Ol.json
